APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range,Latitude,Longitude
2012001040,2019,22031 STRATHERN ST,LOS ANGELES,91304.0,1,3,3.0,01DC,1 unit,34.2157643,-118.6072521
2012004011,2020,22137 BALTAR ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.216614,-118.6096486
2012004025,2022,22137 STRATHERN ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2158036,-118.6095952
2012004028,2022,22119 STRATHERN ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2158329,-118.6089375
2012005016,2023,8035 FARRALONE AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.21629679999999,-118.610735
2012007005,2021,22232 BURTON ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.220567,-118.4183864
2012008001,2024,22200 ROSCOE BLVD,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2193084,-118.6106391
2012009018,2021,7951 NITA AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2152124,-118.6139764
2012010012,2023,7844 FARRALONE AVE,LOS ANGELES,91304.0,1,3,3.0,200,1 unit,34.2132169,-118.6101408
2012011016,2021,22122 HEMMINGWAY ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2138861,-118.609226
2012011022,2022,22109 ELKWOOD ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2130795,-118.6086334
2012011037,2024,7909 GLADE AVE,LOS ANGELES,91304.0,1,3,3.0,200,1 unit,34.2142652,-118.6083598
2012013027,2019,7909 TOPANGA CANYON BLVD,LOS ANGELES,91304.0,75,3,3.0,501,50-99 units,34.213964,-118.6062146
2012013028,2019,7851 TOPANGA CANYON BLVD,LOS ANGELES,91304.0,20,3,3.0,500,11-49 units,34.2133004,-118.6063064
2012014012,2023,7910 GLADE AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2141414,-118.6078991
2012015003,2023,22116 ELKWOOD ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2126514,-118.6087905
2012015010,2023,22158 ELKWOOD ST,LOS ANGELES,91304.0,1,3,3.0,200,1 unit,34.2126463,-118.6101956
2012015016,2020,22127 INGOMAR ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.21221,-118.6091967
2012016013,2021,7844 RUDNICK AVE,LOS ANGELES,91304.0,1,3,3.0,200,1 unit,34.2133233,-118.612303
2012019004,2022,7732 SHOUP AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.21109550000001,-118.6144464
2012023006,2024,22338 ROSCOE BLVD,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2193195,-118.6137388
2012023008,2023,22352 ROSCOE BLVD,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2192832,-118.6141984
2012023009,2024,8246 SHOUP AVE,LOS ANGELES,91304.0,2,3,3.0,300,2 units,34.2192824,-118.6145138
2012023015,2021,22325 BURTON ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2200895,-118.46621
2012027016,2023,22317 STRATHERN ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2157748,-118.6130697
2012028019,2021,7928 RUDNICK AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2146064,-118.6123543
2012029015,2023,7900 MOORCROFT AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2138134,-118.6112106
2012029016,2021,7901 FARRALONE AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2138498,-118.6106438
2012029018,2021,7917 FARRALONE AVE,LOS ANGELES,91304.0,1,3,3.0,200,1 unit,34.2142564,-118.6105862
2012029027,2023,22230 STRATHERN ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2153051,-118.6115755
2012030009,2023,7739 GLADE AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2111721,-118.608451
2012030023,2021,22157 STAGG ST,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2110067,-118.6100465
2012031007,2021,8216 GLADE AVE,LOS ANGELES,91304.0,2,3,3.0,200,2 units,34.2184213,-118.6079886
2013006011,2022,22662 BURTON ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2200895,-118.46621
2013006014,2024,22659 CANTARA ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2179442,-118.6210722
2013006019,2023,22629 CANTARA ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2179261,-118.6201408
2013007018,2024,8118 FAUST AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2171082,-118.6199856
2013008045,2022,7635 PONCE AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2093309,-118.6221332
2013010014,2021,7838 SALE AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2131027,-118.61833
2013011013,2024,7844 KENTLAND AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2133157,-118.6173482
2013011019,2023,7806 KENTLAND AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2122453,-118.6173367
2013011040,2021,7957 CAPISTRANO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2153755,-118.6169551
2013012002,2023,7950 CAPISTRANO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2151814,-118.6163937
2013012004,2022,7938 CAPISTRANO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2148518,-118.6163914
2013012026,2022,7831 SAUSALITO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2129632,-118.6160267
2013012028,2021,7845 SAUSALITO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2133236,-118.6160191
2013015015,2023,7630 CAPISTRANO AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2093064,-118.6164475
2013015027,2022,7735 SAUSALITO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2112206,-118.6160408
2013016008,2020,7710 KENTLAND AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2105035,-118.6173871
2013017028,2023,7741 KENTLAND AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.211412,-118.6179491
2013019002,2022,22551 SATICOY ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2085424,-118.6186618
2013019006,2021,22523 SATICOY ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2085486,-118.617773
2013019008,2022,22509 SATICOY ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2085026,-118.6172392
2013019012,2022,22443 SATICOY ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2085341,-118.6163371
2013020009,2021,8245 SHOUP AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2192349,-118.6150152
2013021009,2021,22400 BURTON ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2200895,-118.46621
2013026004,2021,7942 FALLBROOK AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2148871,-118.6231633
2013026010,2021,7906 FALLBROOK AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2138664,-118.6231469
2013026034,2024,7923 MAYNARD AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,43.6377304,-79.4375699
2013026043,2024,7824 FALLBROOK AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2127113,-118.6231288
2013027014,2024,7836 MAYNARD AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,43.6377304,-79.4375699
2013029019,2023,7800 FAUST AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2120769,-118.6202509
2013030025,2024,22734 BALTAR ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2162387,-118.6225819
2013031013,2023,7631 VICKY AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.209482,-118.6197985
2013031020,2023,7716 FAUST AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2105852,-118.6201853
2013033022,2023,22735 KESWICK ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2105494,-118.6226921
2014002007,2021,8225 FALLBROOK AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2186133,-118.6238347
2014002008,2021,8219 FALLBROOK AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2183727,-118.6237443
2014002019,2021,8226 MCLAREN AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2185796,-118.6243521
2014003004,2022,22934 ROSCOE BLVD,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2190978,-118.6268665
2014003007,2023,22914 ROSCOE BLVD,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.219072,-118.6261825
2014009006,2021,7921 LENA AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2144051,-118.6261925
2014010002,2024,7839 LENA AVE,LOS ANGELES,91304.0,3,12,12.0,300,3-4 units,34.2129793,-118.6253521
2014011005,2021,22832 STRATHERN ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2152926,-118.624817
2014011017,2021,7852 LENA AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2137797,-118.6252188
2014011020,2024,7908 LENA AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2143255,-118.6255398
2014012002,2023,7947 FALLBROOK AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2151702,-118.6238192
2014012008,2024,7907 FALLBROOK AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2140154,-118.6238809
2014015004,2023,7700 MCLAREN AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2101213,-118.6237177
2014015006,2023,7707 MCLAREN AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2103119,-118.6241034
2014015014,2024,7757 MCLAREN AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2116209,-118.6247669
2014017007,2022,7625 MINSTREL AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2089191,-118.6244051
2014017012,2021,22845 SATICOY ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2085578,-118.6250432
2014018021,2020,22901 SATICOY ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.20850679999999,-118.6257278
2014018022,2024,22861 SATICOY ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2085008,-118.6254984
2014021003,2021,7749 MINSTREL AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.211454,-118.6259455
2014021007,2024,22926 INGOMAR ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2116329,-118.626593
2014023007,2021,22954 BLYTHE ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2147723,-118.4837008
