name,total_rso_removed,total_affordable_added,total_units_added,extremely_low_ami_30,very_very_low_ami_45,very_low_ami_50,low_ami_50_80,moderate_ami_120,workforce_ami_150,market_rate_units_added,Net Change
North Hills,6.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0
North Hollywood,421.0,707.0,2385.0,66.0,0.0,233.0,360.0,48.0,0.0,1678.0,1964.0
Northridge,23.0,15.0,305.0,0.0,0.0,15.0,0.0,0.0,0.0,290.0,282.0
Pacific Palisades,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacoima,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palms,128.0,104.0,1068.0,67.0,0.0,37.0,0.0,0.0,0.0,964.0,940.0
Panorama City,25.0,288.0,1760.0,0.0,0.0,44.0,244.0,0.0,0.0,1472.0,1735.0
Pico-Robertson,282.0,262.0,1111.0,15.0,0.0,84.0,129.0,34.0,0.0,849.0,829.0
Pico-Union,197.0,573.0,1393.0,82.0,0.0,96.0,390.0,5.0,0.0,820.0,1196.0
Playa Vista,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Playa del Rey,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porter Ranch,5.0,296.0,300.0,26.0,0.0,2.0,262.0,6.0,0.0,4.0,295.0
Rancho Park,13.0,13.0,111.0,10.0,0.0,2.0,1.0,0.0,0.0,98.0,98.0
Reseda,7.0,75.0,157.0,0.0,0.0,12.0,11.0,52.0,0.0,82.0,150.0
San Pedro,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sawtelle,1304.0,449.0,2255.0,17.0,0.0,203.0,251.0,58.0,0.0,1806.0,951.0
Sepulveda Basin,8.0,21.0,159.0,0.0,0.0,15.0,6.0,0.0,0.0,138.0,151.0
Sherman Oaks,243.0,1038.0,2003.0,0.0,0.0,66.0,770.0,202.0,0.0,965.0,1760.0
Silver Lake,217.0,23.0,227.0,20.0,0.0,3.0,0.0,0.0,0.0,204.0,10.0
South Park,60.0,180.0,183.0,6.0,0.0,3.0,171.0,0.0,0.0,3.0,123.0
Studio City,163.0,34.0,344.0,8.0,0.0,23.0,2.0,1.0,0.0,310.0,181.0
Sun Valley,128.0,787.0,2246.0,41.0,0.0,50.0,608.0,88.0,0.0,1459.0,2118.0
Sunland,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sylmar,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarzana,10.0,28.0,236.0,0.0,0.0,28.0,0.0,0.0,0.0,208.0,226.0
Toluca Lake,84.0,66.0,197.0,5.0,0.0,7.0,44.0,10.0,0.0,131.0,113.0
Tujunga,18.0,16.0,68.0,0.0,0.0,8.0,8.0,0.0,0.0,52.0,50.0
University Park,109.0,8.0,73.0,0.0,0.0,0.0,6.0,2.0,0.0,65.0,-36.0
Valley Glen,51.0,31.0,116.0,0.0,0.0,31.0,0.0,0.0,0.0,85.0,65.0
Valley Village,69.0,8.0,78.0,4.0,0.0,4.0,0.0,0.0,0.0,70.0,9.0
Van Nuys,297.0,1891.0,3407.0,60.0,0.0,282.0,782.0,767.0,0.0,1516.0,3110.0
Venice,226.0,6.0,56.0,6.0,0.0,0.0,0.0,0.0,0.0,50.0,-170.0
Vermont Knolls,54.0,406.0,429.0,5.0,0.0,45.0,296.0,60.0,0.0,23.0,375.0
Vermont Square,58.0,125.0,233.0,19.0,0.0,9.0,97.0,0.0,0.0,108.0,175.0
Vermont Vista,26.0,349.0,361.0,16.0,0.0,31.0,289.0,13.0,0.0,12.0,335.0
Vermont-Slauson,33.0,16.0,16.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,-17.0
Watts,15.0,4.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0
West Adams,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Hills,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Los Angeles,190.0,80.0,225.0,2.0,0.0,16.0,49.0,13.0,0.0,145.0,35.0
Westchester,507.0,2556.0,3804.0,134.0,0.0,88.0,1866.0,468.0,0.0,1248.0,3297.0
Westlake,690.0,664.0,3013.0,255.0,0.0,173.0,328.0,0.0,0.0,2349.0,2323.0
Westwood,237.0,31.0,315.0,6.0,0.0,23.0,1.0,1.0,0.0,284.0,78.0
Wilmington,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windsor Square,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winnetka,15.0,12.0,52.0,6.0,0.0,4.0,2.0,0.0,0.0,40.0,37.0
Woodland Hills,24.0,138.0,302.0,0.0,0.0,45.0,68.0,25.0,0.0,164.0,278.0
