APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range
2257020250,2019,5460 WHITE OAK AVE NO J-305,LOS ANGELES,91316,1,5,4,010E,1 unit
2257020251,2019,5460 WHITE OAK AVE NO J-306,LOS ANGELES,91316,1,5,4,010E,1 unit
2257020252,2019,5460 WHITE OAK AVE NO J-307,LOS ANGELES,91316,1,5,4,010E,1 unit
2257020253,2019,5460 WHITE OAK AVE NO J-308,LOS ANGELES,91316,1,5,4,010E,1 unit
2258002016,2019,17112 KILLION ST,LOS ANGELES,91316,2,5,4,201,2 units
2258005046,2019,5166 LOUISE AVE,LOS ANGELES,91316,2,5,4,201,2 units
2258007018,2019,5301 BALBOA BLVD NO P1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007019,2019,5301 BALBOA BLVD NO P2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007020,2019,5301 BALBOA BLVD NO P3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007021,2019,5301 BALBOA BLVD NO P4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007022,2019,5301 BALBOA BLVD NO P5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007023,2019,5301 BALBOA BLVD NO 6P,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007024,2019,5301 BALBOA BLVD NO P7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007025,2019,5301 BALBOA BLVD NO P8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007026,2019,5301 BALBOA BLVD NO 07,ENCINO,91316,1,5,4,010C,1 unit
2258007027,2019,5301 BALBOA BLVD NO O-8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007028,2019,5301 BALBOA BLVD NO O-5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007029,2019,5301 BALBOA BLVD NO O-6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007030,2019,5301 BALBOA BLVD NO O-3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007031,2019,5301 BALBOA BLVD NO O-4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007032,2019,5301 BALBOA BLVD NO O-1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007033,2019,5301 BALBOA BLVD NO O-2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007034,2019,5301 BALBOA BLVD NO N-1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007035,2019,5301 BALBOA BLVD NO N-2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007036,2019,5301 BALBOA BLVD NO N3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007037,2019,5301 BALBOA BLVD NO N4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007038,2019,5301 BALBOA BLVD NO N5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007039,2019,5301 BALBOA BLVD NO N6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007040,2019,5301 BALBOA BLVD NO M11,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007041,2019,5301 BALBOA BLVD NO M12,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007042,2019,5301 BALBOA BLVD NO M9,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007043,2019,5301 BALBOA BLVD NO M10,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007044,2019,5301 BALBOA BLVD NO M7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007045,2019,5301 BALBOA BLVD NO M8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007046,2019,5301 BALBOA BLVD NO M5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007047,2019,5301 BALBOA BLVD NO M6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007048,2019,5301 BALBOA BLVD NO M3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007049,2019,5301 BALBOA BLVD NO M4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007050,2019,5301 BALBOA BLVD NO M1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007051,2019,5301 BALBOA BLVD NO M2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007052,2019,5301 BALBOA BLVD NO L1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007053,2019,5301 BALBOA BLVD NO L2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007054,2019,5301 BALBOA BLVD NO L3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007055,2019,5301 BALBOA BLVD NO L4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007056,2019,5301 BALBOA BLVD NO L5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007057,2019,5301 BALBOA BLVD NO L6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007058,2019,5301 BALBOA BLVD NO L7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007059,2019,5301 BALBOA BLVD NO L8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007060,2019,5301 BALBOA BLVD NO L9,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007061,2019,5301 BALBOA BLVD NO L10,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007062,2019,5301 BALBOA BLVD NO L11,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007063,2019,5301 BALBOA BLVD NO L12,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007064,2019,5301 BALBOA BLVD NO 1K,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007065,2019,5301 BALBOA BLVD NO K2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007066,2019,5301 BALBOA BLVD NO K3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007067,2019,5301 BALBOA BLVD NO K4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007068,2019,5301 BALBOA BLVD NO K5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007069,2019,5301 BALBOA BLVD NO K6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007070,2019,5301 BALBOA BLVD NO K7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007071,2019,5301 BALBOA BLVD NO K8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007072,2019,5301 BALBOA BLVD NO J1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007073,2019,5301 BALBOA BLVD NO J2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007074,2019,5301 BALBOA BLVD NO J3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007075,2019,5301 BALBOA BLVD NO J4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007076,2019,5301 BALBOA BLVD NO J5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007077,2019,5301 BALBOA BLVD NO J6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007078,2019,5301 BALBOA BLVD NO H1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007079,2019,5301 BALBOA BLVD NO H2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007080,2019,5301 BALBOA BLVD NO H3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007081,2019,5301 BALBOA BLVD NO H4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007082,2019,5301 BALBOA BLVD NO H5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007083,2019,5301 BALBOA BLVD NO H6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007084,2019,5301 BALBOA BLVD NO H7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007085,2019,5301 BALBOA BLVD NO H8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007086,2019,5301 BALBOA BLVD NO H9,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007087,2019,5301 BALBOA BLVD NO H10,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007088,2019,5301 BALBOA BLVD NO H11,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007089,2019,5301 BALBOA BLVD NO H12,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007090,2019,5301 BALBOA BLVD NO H15,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007091,2019,5301 BALBOA BLVD NO H14,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007092,2019,5301 BALBOA BLVD NO H17,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007093,2019,5301 BALBOA BLVD NO H16,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007094,2019,5301 BALBOA BLVD NO H19,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007095,2019,5301 BALBOA BLVD NO H18,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007096,2019,5301 BALBOA BLVD NO G5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007097,2019,5301 BALBOA BLVD NO G6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007098,2019,5301 BALBOA BLVD NO G3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007099,2019,5301 BALBOA BLVD NO G4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007100,2019,5301 BALBOA BLVD NO G1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007101,2019,5301 BALBOA BLVD NO G2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007102,2019,5301 BALBOA BLVD NO F7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007103,2019,5301 BALBOA BLVD NO F8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007104,2019,5301 BALBOA BLVD NO F5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007105,2019,5301 BALBOA BLVD NO F6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007106,2019,5301 BALBOA BLVD NO F3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007107,2019,5301 BALBOA BLVD NO F4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007108,2019,5301 BALBOA BLVD NO F1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007109,2019,5301 BALBOA BLVD NO F2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007110,2019,5301 BALBOA BLVD NO E11,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007111,2019,5301 BALBOA BLVD NO E12,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007112,2019,5301 BALBOA BLVD NO E9,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007113,2019,5301 BALBOA BLVD NO E10,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007114,2019,5301 BALBOA BLVD NO E7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007115,2019,5301 BALBOA BLVD NO E8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007116,2019,5301 BALBOA BLVD NO E5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007117,2019,5301 BALBOA BLVD NO 6E,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007118,2019,5301 BALBOA BLVD NO E3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007119,2019,5301 BALBOA BLVD NO E4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007120,2019,5301 BALBOA BLVD NO E1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007121,2019,5301 BALBOA BLVD NO E2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007122,2019,5301 BALBOA BLVD NO D1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007123,2019,5301 BALBOA BLVD NO D2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007124,2019,5301 BALBOA BLVD NO D3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007125,2019,5301 BALBOA BLVD NO D4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007126,2019,5301 BALBOA BLVD NO D5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007127,2019,5301 BALBOA BLVD NO D6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007128,2019,5301 BALBOA BLVD NO D7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007129,2019,5301 BALBOA BLVD NO D8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007130,2019,5301 BALBOA BLVD NO D9,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007131,2019,5301 BALBOA BLVD NO D10,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007132,2019,5301 BALBOA BLVD NO D11,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007133,2019,5301 BALBOA BLVD NO D12,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007134,2019,5301 BALBOA BLVD NO B1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007135,2019,5301 BALBOA BLVD NO B2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007136,2019,5301 BALBOA BLVD NO B3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007137,2019,5301 BALBOA BLVD NO B4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007138,2019,5301 BALBOA BLVD NO B5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007139,2019,5301 BALBOA BLVD NO B6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007140,2019,5301 BALBOA BLVD NO C7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007141,2019,5301 BALBOA BLVD NO C8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007142,2019,5301 BALBOA BLVD NO C5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007143,2019,5301 BALBOA BLVD NO C6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007144,2019,5301 BALBOA BLVD NO 3C,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007145,2019,5301 BALBOA BLVD NO C4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007146,2019,5301 BALBOA BLVD NO C1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007147,2019,5301 BALBOA BLVD NO C2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007148,2019,5301 BALBOA BLVD NO A7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007149,2019,5301 BALBOA BLVD NO 8A,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007150,2019,5301 BALBOA BLVD NO A5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007151,2019,5301 BALBOA BLVD NO A6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007152,2019,5301 BALBOA BLVD NO A3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007153,2019,5301 BALBOA BLVD NO A4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007154,2019,5301 BALBOA BLVD NO A1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007155,2019,5301 BALBOA BLVD NO A2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007156,2019,5301 BALBOA BLVD NO Q101,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007157,2019,5301 BALBOA BLVD NO Q201,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007158,2019,5301 BALBOA BLVD NO Q301,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007159,2019,5301 BALBOA BLVD NO Q102,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007160,2019,5301 BALBOA BLVD NO Q202,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007161,2019,5301 BALBOA BLVD NO Q302,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007162,2019,5301 BALBOA BLVD NO Q103,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007163,2019,5301 BALBOA BLVD NO Q203,LOS ANGELES,91316,1,5,4,010C,1 unit
2258007164,2019,5301 BALBOA BLVD NO Q303,LOS ANGELES,91316,1,5,4,010C,1 unit
2258011009,2022,17150 OTSEGO ST,LOS ANGELES,91316,2,4,4,200,2 units
2258014033,2022,5030 AMESTOY AVE,LOS ANGELES,91316,2,4,4,200,2 units
2258015003,2019,5021 GENESTA AVE,LOS ANGELES,91316,5,5,4,500,5-10 units
2258015034,2019,4949 GENESTA AVE NO 101,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015035,2019,4949 GENESTA AVE NO 102,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015036,2019,4949 GENESTA AVE NO 103,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015037,2019,4949 GENESTA AVE NO 104,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015038,2019,4949 GENESTA AVE NO 105,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015039,2019,4949 GENESTA AVE NO 106,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015040,2019,4949 GENESTA AVE NO 107,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015041,2019,4949 GENESTA AVE NO 108,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015042,2019,4949 GENESTA AVE NO 109,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015043,2019,4949 GENESTA AVE NO 110,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015044,2019,4949 GENESTA AVE NO 111,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015045,2019,4949 GENESTA AVE NO 112,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015046,2019,4949 GENESTA AVE NO 112A,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015047,2019,4949 GENESTA AVE NO 114,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015048,2019,4949 GENESTA AVE NO 115,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015049,2019,4949 GENESTA AVE NO 116,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015050,2019,4949 GENESTA AVE NO 201,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015051,2019,4949 GENESTA AVE NO 202,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015052,2019,4949 GENESTA AVE NO 203,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015053,2019,4949 GENESTA AVE NO 204,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015054,2019,4949 GENESTA AVE NO 205,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015055,2019,4949 GENESTA AVE NO 206,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015056,2019,4949 GENESTA AVE NO 207,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015057,2019,4949 GENESTA AVE NO 208,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015058,2019,4949 GENESTA AVE NO 209,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015059,2019,4949 GENESTA AVE NO 210,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015060,2019,4949 GENESTA AVE NO 211,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015061,2019,4949 GENESTA AVE NO 212,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015062,2019,4949 GENESTA AVE NO 212A,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015063,2019,4949 GENESTA AVE NO 214,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015064,2019,4949 GENESTA AVE NO 215,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015065,2019,4949 GENESTA AVE NO 216,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015066,2019,4949 GENESTA AVE NO 301,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015067,2019,4949 GENESTA AVE NO 302,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015068,2019,4949 GENESTA AVE NO 303,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015069,2019,4949 GENESTA AVE NO 304,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015070,2019,4949 GENESTA AVE NO 305,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015071,2019,4949 GENESTA AVE NO 306,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015072,2019,4949 GENESTA AVE NO 307,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015073,2019,4949 GENESTA AVE NO 308,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015074,2019,4949 GENESTA AVE NO 309,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015075,2019,4949 GENESTA AVE NO 310,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015076,2019,4949 GENESTA AVE NO 311,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015077,2019,4949 GENESTA AVE NO 312,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015078,2019,4949 GENESTA AVE NO 312A,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015079,2019,4949 GENESTA AVE NO 314,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015080,2019,4949 GENESTA AVE NO 315,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015081,2019,4949 GENESTA AVE NO 316,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015082,2019,4949 GENESTA AVE NO 401,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015083,2019,4949 GENESTA AVE NO 402,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015084,2019,4949 GENESTA AVE NO 403,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015085,2019,4949 GENESTA AVE NO 404,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015086,2019,4949 GENESTA AVE NO 405,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015087,2019,4949 GENESTA AVE NO 406,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015088,2019,4949 GENESTA AVE NO 407,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015089,2019,4949 GENESTA AVE NO 408,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015090,2019,4949 GENESTA AVE NO 409,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015091,2019,4949 GENESTA AVE NO 410,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015092,2019,4949 GENESTA AVE NO 411,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015093,2019,4949 GENESTA AVE NO 412,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015094,2019,4949 GENESTA AVE NO 412A,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015095,2019,4949 GENESTA AVE NO 414,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015096,2019,4949 GENESTA AVE NO 415,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015097,2019,4949 GENESTA AVE NO 416,LOS ANGELES,91316,1,5,4,010E,1 unit
2258015098,2019,4949 GENESTA AVE NO 417,LOS ANGELES,91316,1,5,4,010E,1 unit
2258021026,2019,5139 BALBOA BLVD UNIT 1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021027,2019,5139 BALBOA BLVD NO 2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021028,2019,5139 BALBOA BLVD NO 3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021029,2019,5139 BALBOA BLVD NO 4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021030,2019,5139 BALBOA BLVD UNIT 5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021031,2019,5139 BALBOA BLVD UNIT 6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021032,2019,5139 BALBOA BLVD NO 7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021033,2019,5139 BALBOA BLVD UNIT 8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021034,2019,5139 BALBOA BLVD UNIT 9,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021035,2019,5139 BALBOA BLVD UNIT 10,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021036,2019,5139 BALBOA BLVD UNIT 11,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021037,2019,5139 BALBOA BLVD UNIT 12,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021038,2019,5139 BALBOA BLVD UNIT 13,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021039,2019,5139 BALBOA BLVD UNIT 14,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021040,2019,5139 BALBOA BLVD NO 15,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021041,2019,5139 BALBOA BLVD NO 16,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021042,2019,5139 BALBOA BLVD UNIT 17,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021043,2019,5139 BALBOA BLVD UNIT 18,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021044,2019,5139 BALBOA BLVD UNIT 19,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021045,2019,5139 BALBOA BLVD UNIT 20,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021046,2019,5139 BALBOA BLVD UNIT 21,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021047,2019,5139 BALBOA BLVD UNIT 22,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021048,2019,5139 BALBOA BLVD NO 101,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021049,2019,5139 BALBOA BLVD NO 102,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021050,2019,5139 BALBOA BLVD UNIT 103,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021051,2019,5139 BALBOA BLVD UNIT 104,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021052,2019,5139 BALBOA BLVD NO 105,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021053,2019,5139 BALBOA BLVD NO 106,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021054,2019,5139 BALBOA BLVD NO 201,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021055,2019,5139 BALBOA BLVD NO 202,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021056,2019,5139 BALBOA BLVD NO 203,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021057,2019,5139 BALBOA BLVD NO 204,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021058,2019,5139 BALBOA BLVD NO 205,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021059,2019,5139 BALBOA BLVD206,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021060,2019,5139 BALBOA BLVD NO 301,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021061,2019,5139 BALBOA BLVD NO 302,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021062,2019,5139 BALBOA BLVD NO 303,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021063,2019,5139 BALBOA BLVD NO 304,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021064,2019,5139 BALBOA BLVD NO 305,LOS ANGELES,91316,1,5,4,010C,1 unit
2258021065,2019,5139 BALBOA BLVD NO 306,LOS ANGELES,91316,1,5,4,010C,1 unit
2258023037,2021,17026 MAGNOLIA BLVD,LOS ANGELES,91316,1,5,4,200,1 unit
2258025029,2023,5330 AMESTOY ST,,91316,1,4,4,200,1 unit
2258025030,2023,5321 OAK PARK,,91316,1,4,4,200,1 unit
2258026030,2019,5229 BALBOA BLVD NO 1,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026031,2019,5229 BALBOA BLVD NO 2,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026032,2019,5229 BALBOA BLVD NO 3,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026033,2019,5229 BALBOA BLVD NO 4,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026034,2019,5229 BALBOA BLVD UNIT 5,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026035,2019,5229 BALBOA BLVD NO 6,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026036,2019,5229 BALBOA BLVD NO 7,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026037,2019,5229 BALBOA BLVD NO 8,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026038,2019,5229 BALBOA BLVD NO 9,LOS ANGELES,91316,1,5,4,010C,1 unit
2258026039,2019,5229 BALBOA BLVD NO 10,LOS ANGELES,91316,1,5,4,010C,1 unit
