APN,Application Received,Application Year,Council District,Address_left,City,Zip_left,Units Withdrawn,Replacement Unit,Latitude_left,Longitude_left,lat_lon_left,geometry,Address_right,Zip_right,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Rec Year,Entitlement,Zip_right,C of O,Extremely Low (AMI 30%),"Very, Very Low (45%)",Very Low (AMI 50%),Low (AMI 50%-80%),Moderate (AMI 120%),Workforce (AMI 150%),Types of Density Bonus/Discretionary/Specific Plan,source,Cleaned_Address,Latitude_right,Longitude_right,lat_lon_right,index_right,OBJECTID,name
2221021005,11/21/2016,2016,6,14912 W WYANDOTTE ST,VAN NUYS ,91405.0,6.0,10.0,34.2030335,-118.4393107,"(34.2030335, -118.4393107)",POINT (367394.66903872474 3785604.6818523547),14912 W. Wyandotte Ave.,91405.0,6.0,2018,1.0,10,0.1,2018,DB,91405,2021-06-14 00:00:00,,,1.0,,,,,deduplicated_matched,14912 W. Wyandotte Ave.,34.2030335,-118.4393107,"(34.2030335, -118.4393107)",96.0,97.0,Van Nuys
2224004006,7/23/2018,2018,6,16034 W SHERMAN WAY,VAN NUYS ,91406.0,4.0,54.0,34.20108099999999,-118.5199707,"(34.20108099999999, -118.5199707)",POINT (359959.5122517106 3785496.0684949136),17630 W. Sherman Way,91406.0,6.0,2022,5.0,39,0.1282051282051282,2022,DB,91406,,,,5.0,,,,DB,deduplicated_matched,17630 W. Sherman Way,34.20108099999999,-118.5199707,"(34.20108099999999, -118.5199707)",78.0,79.0,Reseda
2224004006,7/23/2018,2018,6,16034 W SHERMAN WAY,VAN NUYS ,91406.0,4.0,54.0,34.20108099999999,-118.5199707,"(34.20108099999999, -118.5199707)",POINT (359959.5122517106 3785496.0684949136),16030 W. Sherman Way,91406.0,6.0,2019,7.0,54,0.1296296296296296,2019,DB,91406,2022-04-27 00:00:00,,,7.0,,,,,deduplicated_matched,16030 W. Sherman Way,34.20108099999999,-118.5199707,"(34.20108099999999, -118.5199707)",78.0,79.0,Reseda
2224004006,7/23/2018,2018,6,16034 W SHERMAN WAY,VAN NUYS ,91406.0,4.0,54.0,34.20108099999999,-118.5199707,"(34.20108099999999, -118.5199707)",POINT (359959.5122517106 3785496.0684949136),13604 West Sherman Way,91403.0,2.0,2015,63.0,64,0.984375,2015,DB,91403,2016-08-01 00:00:00,,,,11.0,52.0,,,deduplicated_matched,13604 West Sherman Way,34.20108099999999,-118.5199707,"(34.20108099999999, -118.5199707)",78.0,79.0,Reseda
2233014007,12/26/2023,2023,6,15931 W VICTORY BLVD,VAN NUYS ,91406.0,5.0,,34.1868294,-118.4720413,"(34.1868294, -118.4720413)",POINT (364352.96591479564 3783850.8051379253),16515 W. Victory Blvd.,91406.0,6.0,2018,1.0,8,0.125,2018,Other/Discretionary,91406,,,,,,1.0,,UDU,deduplicated_matched,16515 W. Victory Blvd.,34.1864904,-118.4720437,"(34.1864904, -118.4720437)",96.0,97.0,Van Nuys
2233014007,12/26/2023,2023,6,15931 W VICTORY BLVD,VAN NUYS ,91406.0,5.0,,34.1868294,-118.4720413,"(34.1868294, -118.4720413)",POINT (364352.96591479564 3783850.8051379253),15931 W VICTORY BLVD,,,2024,99.0,100,0.99,2024,ED1,,,0.0,,3.0,76.0,20.0,0.0,,ed1,15931 W VICTORY BLVD,34.1868294,-118.4720413,"(34.1868294, -118.4720413)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),13716 W. Victory Blvd.,91401.0,2.0,2021,4.0,32,0.125,2021,DB,91401,,,,4.0,,,,4 Waivers of Development Standards,deduplicated_matched,13716 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),13853 W. Victory Blvd.,91401.0,2.0,2021,4.0,24,0.1666666666666666,2021,DB,91401,,,,,4.0,,,,deduplicated_matched,13853 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),13148 W. Victory Blvd.,91401.0,2.0,2020,1.0,12,0.0833333333333333,2020,DB,91401,,,,,1.0,,,,deduplicated_matched,13148 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),14222 W. Victory Blvd.,91401.0,6.0,2019,3.0,18,0.1666666666666666,2019,DB,91401,,,,2.0,1.0,,,,deduplicated_matched,14222 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),14748 W. Victory Blvd.,91411.0,6.0,2019,1.0,11,0.0909090909090909,2019,TOC,91411,2022-08-26 00:00:00,1.0,,,,,,TOC Tier 1,deduplicated_matched,14748 W. Victory Blvd.,34.1864751,-118.4676617,"(34.1864751, -118.4676617)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),13210 W. Victory Blvd.,91401.0,2.0,2019,1.0,30,0.0333333333333333,2019,Other/Discretionary,91401,,,,,,1.0,,UDU,deduplicated_matched,13210 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),13724 W. Victory Blvd.,91401.0,2.0,2018,4.0,67,0.0597014925373134,2018,DB,91401,2022-02-14 00:00:00,,,4.0,,,,,deduplicated_matched,13724 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),14827 W Victory Blvd,91411.0,6.0,2016,2.0,9,0.2222222222222222,2016,DB,91411,,,,1.0,1.0,,,,deduplicated_matched,14827 W Victory Blvd,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),13919 W Victory Blvd,91401.0,2.0,2015,2.0,18,0.1111111111111111,2015,DB,91401,"12/22/21, Corrected 04/04/22",,,2.0,,,,,deduplicated_matched,13919 W Victory Blvd,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373,"(34.1864751, -118.4677373)",POINT (364749.0415432869 3783805.7962045427),15003 West Victory Blvd,91411.0,6.0,2014,2.0,17,0.1176470588235294,2014,DB,91411,2015-10-09 00:00:00,,,2.0,,,,,deduplicated_matched,15003 West Victory Blvd,34.1864751,-118.4677498,"(34.1864751, -118.4677498)",96.0,97.0,Van Nuys
2236022012,7/12/2023,2023,6,14654 W GILMORE ST,VAN NUYS ,91411.0,2.0,,34.1874904,-118.4527315,"(34.1874904, -118.4527315)",POINT (366133.5305434372 3783898.579989295),14658 W GILMORE ST,,,2024,47.0,48,0.9791666666666666,2024,ED1,,,0.0,,2.0,37.0,8.0,0.0,,ed1,14658 W GILMORE ST,34.18746120000001,-118.4529137,"(34.18746120000001, -118.4529137)",96.0,97.0,Van Nuys
2237002023,3/17/2008,2008,6,14416 W VANOWEN ST,VAN NUYS ,91405.0,5.0,,34.1936895,-118.4471933,"(34.1936895, -118.4471933)",POINT (366653.66523721674 3784578.7676969403),6755 N. Sylmar Ave.,91405.0,6.0,2021,5.0,45,0.1111111111111111,2021,TOC,91405,,5.0,,,,,,TOC Tier 4,deduplicated_matched,6755 N. Sylmar Ave.,34.193792,-118.4468091,"(34.193792, -118.4468091)",96.0,97.0,Van Nuys
2238006032,3/14/2016,2016,2,6736 N HAZELTINE AVE,VAN NUYS ,91405.0,1.0,,34.1930973,-118.4397754,"(34.1930973, -118.4397754)",POINT (367336.2864544727 3784503.4158137008),14055 W Archwood St,90034.0,2.0,2016,2.0,36,0.0555555555555555,2016,DB,90034,2017-08-07 00:00:00,,,2.0,,,,,deduplicated_matched,14055 W Archwood St,34.1930513,-118.4397195,"(34.1930513, -118.4397195)",94.0,95.0,Valley Glen
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),13716 W. Victory Blvd.,91401.0,2.0,2021,4.0,32,0.125,2021,DB,91401,,,,4.0,,,,4 Waivers of Development Standards,deduplicated_matched,13716 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),13853 W. Victory Blvd.,91401.0,2.0,2021,4.0,24,0.1666666666666666,2021,DB,91401,,,,,4.0,,,,deduplicated_matched,13853 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",POINT (364758.12820232264 3783805.6653884705),13148 W. Victory Blvd.,91401.0,2.0,2020,1.0,12,0.0833333333333333,2020,DB,91401,,,,,1.0,,,,deduplicated_matched,13148 W. Victory Blvd.,34.1864751,-118.4676387,"(34.1864751, -118.4676387)",96.0,97.0,Van Nuys
