APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit,Latitude,Longitude
2236020017,6/25/2015,2015,6,14827 W VICTORY BLVD,VAN NUYS ,91411.0,2.0,,34.1864751,-118.4677373
2236022012,7/12/2023,2023,6,14654 W GILMORE ST,VAN NUYS ,91411.0,2.0,,34.1874904,-118.4527315
2237002023,3/17/2008,2008,6,14416 W VANOWEN ST,VAN NUYS ,91405.0,5.0,,34.1936895,-118.4471933
2237020010,8/11/2022,2022,6,14212 W GILMORE ST,VAN NUYS ,91401.0,2.0,,34.1874665,-118.4427101
2237020011,1/22/2010,2010,6,14206 W GILMORE ST,VAN NUYS ,91401.0,2.0,5.0,34.1873746,-118.4424734
2237021014,5/11/2021,2021,2,14207 W GILMORE ST,VAN NUYS ,91401.0,2.0,4.0,34.1878951,-118.442577
2238002013,6/29/2018,2018,2,6632 N HAZELTINE AVE,VAN NUYS ,91405.0,2.0,4.0,34.1916974,-118.4396138
2238006022,2/19/2020,2020,2,13940  VANOWEN ST,VAN NUYS ,91405.0,3.0,,34.1936099,-118.4370061
2238006032,3/14/2016,2016,2,6736 N HAZELTINE AVE,VAN NUYS ,91405.0,1.0,,34.1930973,-118.4397754
2239006030,4/20/2016,2016,2,13724 W VICTORY BLVD,LOS ANGELES ,91401.0,5.0,,34.1864751,-118.4676387
2240012012,5/17/2016,2016,6,6361 N TYRONE AVE,VAN NUYS ,91401.0,4.0,0.0,34.15499190000001,-118.4443514
2240012013,5/17/2016,2016,6,14307 W FRIAR ST,VAN NUYS ,91401.0,2.0,0.0,34.1859052,-118.4447108
2240012014,6/27/2017,2017,6,14311 W FRIAR ST,VAN NUYS ,91401.0,2.0,30.0,34.1858953,-118.4448768
2240013006,1/16/2019,2019,6,14226 W VICTORY BLVD,VAN NUYS ,91401.0,4.0,18.0,34.1864751,-118.4676387
2240014025,8/1/2022,2022,6,14161 W FRIAR ST,VAN NUYS ,91401.0,1.0,,34.1860965,-118.4422159
2240019014,6/5/2019,2019,6,6211 N HAZELTINE AVE,LOS ANGELES ,91401.0,4.0,,34.182969,-118.4401592
2240020001,6/5/2017,2017,6,6220 N TYRONE AVE,VAN NUYS ,91401.0,2.0,,34.15499190000001,-118.4443514
2240020002,6/19/2018,2018,6,14252 W ERWIN ST,VAN NUYS ,91401.0,2.0,,34.2012166,-118.466222
2240020022,1/28/2015,2015,6,14247 W DELANO ST,VAN NUYS ,91401.0,2.0,5.0,34.1829518,-118.4438318
2240021006,12/6/2019,2019,6,14228 W DELANO ST,VAN NUYS ,91401.0,2.0,5.0,34.1823921,-118.4433489
2241002015,1/7/2020,2020,6,14757 W FRIAR ST,VAN NUYS ,91411.0,3.0,5.0,34.1858237,-118.4550357
2241003014,5/8/2019,2019,6,14631 W FRIAR ST,VAN NUYS ,91411.0,2.0,,34.185937,-118.452072
2241007004,4/27/2023,2023,6,14716 W FRIAR ST,VAN NUYS ,91411.0,2.0,,34.1854602,-118.4538032
2241009019,8/26/2021,2021,6,14831 W ERWIN ST,VAN NUYS ,91411.0,2.0,6.0,34.2012166,-118.466222
2241009022,6/27/2022,2022,6,14811 W ERWIN ST,VAN NUYS ,91411.0,3.0,,34.2012166,-118.466222
2241010009,7/2/2014,2014,6,14748 W SYLVAN ST,VAN NUYS ,91411.0,2.0,5.0,34.1845053,-118.4547742
2241011020,8/23/2018,2018,6,14631 W ERWIN ST,VAN NUYS ,91411.0,3.0,,34.2012166,-118.466222
2241016011,8/11/2008,2008,6,14848 W ERWIN ST,VAN NUYS ,91411.0,2.0,,34.2012166,-118.466222
2241017002,4/22/2015,2015,6,14800 W DELANO ST,VAN NUYS ,91411.0,2.0,5.0,34.1824229,-118.4555321
2241017004,1/31/2018,2018,6,14810 W DELANO ST,VAN NUYS ,91411.0,3.0,,34.1823898,-118.4558201
2241017006,6/22/2018,2018,6,14822 W DELANO ST,VAN NUYS ,91411.0,3.0,,34.1824117,-118.4563237
2241017008,5/29/2014,2014,6,14832 W DELANO ST,VAN NUYS ,91411.0,2.0,5.0,34.1823847,-118.4565358
2241022005,1/13/2017,2017,6,14618 W CALVERT ST,VAN NUYS ,91411.0,3.0,19.0,34.1814318,-118.4515644
2242017148,3/11/2024,2024,6,14930 W VICTORY BLVD,VAN NUYS ,91411.0,4.0,,34.1864751,-118.4677498
2242023010,3/16/2016,2016,6,14931 W DELANO ST,VAN NUYS ,91411.0,3.0,,34.1827414,-118.458646
2243004007,8/25/2014,2014,4,5720 N SEPULVEDA BLVD,VAN NUYS ,91411.0,6.0,0.0,34.1884836,-118.4664356
2243004008,8/25/2014,2014,4,5714 N SEPULVEDA BLVD,VAN NUYS ,91411.0,14.0,0.0,34.1884836,-118.4664356
2243004009,8/25/2014,2014,4,5703 N HALBRENT AVE,VAN NUYS ,91411.0,12.0,0.0,34.1740605,-118.4652868
2243004010,8/25/2014,2014,4,5700 N SEPULVEDA BLVD,VAN NUYS ,91411.0,17.0,131.0,34.1884836,-118.4664356
2243014029,12/22/2023,2023,4,5723 N KESTER AVE,VAN NUYS ,91411.0,2.0,,34.174606,-118.4578127
2244006002,8/15/2017,2017,4,5946 N CEDROS AVE,VAN NUYS ,91411.0,3.0,,34.1788461,-118.4527144
2244012003,11/2/2022,2022,4,5846 N KESTER AVE,VAN NUYS ,91411.0,2.0,,34.1771145,-118.4572299
2244012011,6/15/2022,2022,4,5808 N KESTER AVE,VAN NUYS ,91411.0,2.0,,34.176029,-118.457094
2244013003,12/4/2019,2019,4,5750 N KESTER AVE,VAN NUYS ,91411.0,2.0,4.0,34.175328,-118.4572505
2244018001,6/7/2016,2016,4,14747 W BURBANK BLVD,VAN NUYS ,91411.0,8.0,,34.2012166,-118.466222
2244018018,6/7/2016,2016,4,14731 W BURBANK BLVD,VAN NUYS ,91411.0,3.0,,34.2012166,-118.466222
2244018019,6/7/2016,2016,4,14735 W BURBANK BLVD,VAN NUYS ,91411.0,3.0,,34.2012166,-118.466222
2245027036,2/17/2016,2016,4,14143 W BURBANK BLVD,VAN NUYS ,91401.0,2.0,10.0,34.2012166,-118.466222
2245027037,11/6/2015,2015,4,14147 W BURBANK BLVD,VAN NUYS ,91401.0,2.0,0.0,34.2012166,-118.466222
2246005003,6/29/2022,2022,2,13836 W OXNARD ST,VAN NUYS ,91401.0,2.0,,34.1795885,-118.4289045
2246006001,6/25/2019,2019,2,13822 W OXNARD ST,VAN NUYS ,91401.0,2.0,,34.1795885,-118.4289045
2246011017,3/2/2022,2022,2,13826 W CALIFA ST,VAN NUYS ,91401.0,2.0,,34.1773318,-118.4344289
2248005019,6/26/2018,2018,4,14425 W RIVERSIDE DR,LOS ANGELES ,91423.0,2.0,,34.154216,-118.326101
2248013018,7/7/2023,2023,4,5243 N TILDEN AVE,VAN NUYS ,91401.0,3.0,,34.1661628,-118.4478663
2249001004,3/22/2021,2021,4,14534 W BURBANK BLVD,VAN NUYS ,91411.0,3.0,,34.2012166,-118.466222
2249005017,1/25/2024,2024,4,14535 W WEDDINGTON ST,VAN NUYS ,91411.0,4.0,,34.16690610000001,-118.4500226
2249005019,6/13/2024,2024,4,14523 W WEDDINGTON ST,VAN NUYS ,91411.0,2.0,,34.16679,-118.44962
2249006005,3/1/2021,2021,4,14540 W WEDDINGTON ST,VAN NUYS ,91411.0,2.0,,34.166404,-118.4502391
