Address,Zip Code,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Rec Year,Entitlement,Zip,C of O,Extremely Low (AMI 30%),"Very, Very Low (45%)",Very Low (AMI 50%),Low (AMI 50%-80%),Moderate (AMI 120%),Workforce (AMI 150%),Types of Density Bonus/Discretionary/Specific Plan,source,Cleaned_Address,LAT,LONG
470 N. Wilton Pl.,90004.0,13.0,2022,1.0,13,0.0769230769230769,2022,DB,90004,,,,1.0,,,,,deduplicated_matched,470 N. Wilton Pl.,34.079614,-118.3130178
2722 S. Figueroa St.,90007.0,9.0,2022,24.0,157,0.1528662420382165,2022,DB,90007,2024-10-31 00:00:00,,,18.0,,,6.0,,deduplicated_matched,2722 S. Figueroa St.,34.0264856,-118.2766249
1450 W. Washington Blvd.,90007.0,1.0,2022,4.0,40,0.1,2022,DB,90007,2024-04-26 00:00:00,,,4.0,,,,,deduplicated_matched,1450 W. Washington Blvd.,34.039807,-118.2878686
422 N. Alvarado St.,90026.0,13.0,2022,6.0,73,0.0821917808219178,2022,DB,90026,,,,6.0,,,,,deduplicated_matched,422 N. Alvarado St.,34.07083,-118.26747
1400 S. Glenville Dr.,90035.0,5.0,2022,8.0,64,0.125,2022,DB,90035,,,,8.0,,,,,deduplicated_matched,1400 S. Glenville Dr.,34.0552275,-118.3930532
7050 W. Hawthorn Ave.,90028.0,13.0,2022,12.0,60,0.2,2022,DB,90028,,,,7.0,3.0,2.0,,,deduplicated_matched,7050 W. Hawthorn Ave.,34.0999647,-118.3433871
1814 S. Federal Ave.,90025.0,11.0,2022,1.0,11,0.0909090909090909,2022,DB,90025,2024-12-26 00:00:00,,,1.0,,,,,deduplicated_matched,1814 S. Federal Ave.,34.0409117,-118.45028
735 S. Boyle Ave.,90023.0,14.0,2022,1.0,5,0.2,2022,DB,90023,,,,1.0,,,,Note: no demolition of the original site will occur. This is the reason for no replacement.,deduplicated_matched,735 S. Boyle Ave.,34.0369727,-118.2192609
15027 W. Ventura Blvd.,91403.0,4.0,2022,4.0,33,0.1212121212121212,2022,DB,91403,,,,4.0,,,,,deduplicated_matched,15027 W. Ventura Blvd.,34.1654692,-118.5278398
2121 S. Westwood Blvd.,90025.0,5.0,2022,11.0,92,0.1195652173913043,2022,DB,90025,,,,11.0,,,,,deduplicated_matched,2121 S. Westwood Blvd.,34.0446665,-118.4326509
1818 N. Cherokee Ave.,90028.0,13.0,2022,21.0,86,0.2441860465116279,2022,DB,90028,2024-07-25 00:00:00,,,21.0,,,,,deduplicated_matched,1818 N. Cherokee Ave.,34.1037254,-118.3344564
182 S. Virgil Ave.,90004.0,13.0,2022,5.0,23,0.217391304347826,2022,DB,90004,,,,3.0,2.0,,,,deduplicated_matched,182 S. Virgil Ave.,34.0711047,-118.2864255
7538 W. Apperson St.,91042.0,7.0,2022,1.0,7,0.1428571428571428,2022,DB,91042,,,,1.0,,,,,deduplicated_matched,7538 W. Apperson St.,34.25576,-118.29705
5817 W. Virginia Ave.,90038.0,13.0,2022,3.0,12,0.25,2022,DB,90038,,,,1.0,2.0,,,,deduplicated_matched,5817 W. Virginia Ave.,34.0919583,-118.3164374
5320 N. Cartwright Ave.,91601.0,2.0,2022,4.0,46,0.0869565217391304,2022,DB,91601,,,,4.0,,,,,deduplicated_matched,5320 N. Cartwright Ave.,34.1672869,-118.3629519
320 N. La Cienega Blvd.,90048.0,5.0,2022,5.0,61,0.081967213114754,2022,DB,90048,,,,5.0,,,,,deduplicated_matched,320 N. La Cienega Blvd.,34.0766808,-118.3763715
1339 N. Tamarind Ave.,90028.0,13.0,2022,4.0,44,0.0909090909090909,2022,DB,90028,,4.0,,,,,,,deduplicated_matched,1339 N. Tamarind Ave.,33.9050705,-118.2229731
8333 S. Airport Blvd.,90045.0,11.0,2022,100.0,102,0.9803921568627452,2022,DB,90045,,,,,100.0,,,DB; SB 35,deduplicated_matched,8333 S. Airport Blvd.,33.963126,-118.3858269
1657 N. Western Ave.,90027.0,13.0,2022,198.0,200,0.99,2022,DB,90027,,,,,158.0,40.0,,Unlimited density per Govt Code Section 65915,deduplicated_matched,1657 N. Western Ave.,34.1007484,-118.3095745
5475 S. Inglewood Blvd.,90230.0,11.0,2022,1.0,11,0.0909090909090909,2022,DB,90230,,1.0,,,,,,DB,deduplicated_matched,5475 S. Inglewood Blvd.,33.9849954,-118.4069072
2800 N. Rokeby St.,90039.0,4.0,2022,4.0,39,0.1025641025641025,2022,DB,90039,,,,4.0,,,,,deduplicated_matched,2800 N. Rokeby St.,34.1075513,-118.2646649
806 W. Adams Blvd.,90007.0,9.0,2022,6.0,52,0.1153846153846153,2022,DB,90007,,,,6.0,,,,DB,deduplicated_matched,806 W. Adams Blvd.,34.0295304,-118.2802524
511 S. Harbor Blvd.,90731.0,15.0,2022,16.0,137,0.1167883211678832,2022,DB,90731,,,,16.0,,,,,deduplicated_matched,511 S. Harbor Blvd.,33.7402492,-118.2800624
306 S. Union Pl.,90017.0,1.0,2022,4.0,30,0.1333333333333333,2022,TOC,90017,,,,4.0,,,,TOC Tier 1,deduplicated_matched,306 S. Union Pl.,34.06028,-118.26726
1546 S. Orange Grove Ave.,90019.0,10.0,2022,3.0,28,0.1071428571428571,2022,TOC,90019,,3.0,,,,,,TOC Tier 3,deduplicated_matched,1546 S. Orange Grove Ave.,34.0481091,-118.3660795
1415 W. Court St.,90026.0,1.0,2022,7.0,46,0.1521739130434782,2022,TOC,90026,,2.0,,4.0,1.0,,,TOC Tier 1,deduplicated_matched,1415 W. Court St.,34.0651187,-118.2586809
612 N. Normandie Ave.,90004.0,13.0,2022,1.0,12,0.0833333333333333,2022,TOC,90004,,1.0,,,,,,TOC Tier 1,deduplicated_matched,612 N. Normandie Ave.,34.0816597,-118.3001385
339 S. Oxford Ave.,90020.0,10.0,2022,2.0,12,0.1666666666666666,2022,TOC,90020,2024-05-09 00:00:00,2.0,,,,,,TOC Tier 1,deduplicated_matched,339 S. Oxford Ave.,34.0678338,-118.3081806
3518 S. Chespeake Ave.,90016.0,10.0,2022,3.0,29,0.1034482758620689,2022,TOC,90016,2023-10-31 00:00:00,3.0,,,,,,TOC Tier 3,deduplicated_matched,3518 S. Chespeake Ave.,34.0233604,-118.3450323
5318 S. Hoover St.,90037.0,9.0,2022,56.0,57,0.9824561403508772,2022,TOC,90037,,6.0,,,50.0,,,TOC Tier 2,deduplicated_matched,5318 S. Hoover St.,33.99363,-118.28694
3434 S. Chesapeake Ave.,90016.0,10.0,2022,1.0,10,0.1,2022,TOC,90016,,1.0,,,,,,TOC Tier 3,deduplicated_matched,3434 S. Chesapeake Ave.,34.0244983,-118.3446794
1626 W. Temple St.,90026.0,13.0,2022,7.0,72,0.0972222222222222,2022,TOC,90026,,7.0,,,,,,TOC Tier 2,deduplicated_matched,1626 W. Temple St.,34.0681012,-118.2618443
300 W. 60th St.,90003.0,9.0,2022,59.0,60,0.9833333333333332,2022,TOC,90003,,6.0,,,53.0,,,TOC Tier 3,deduplicated_matched,300 W. 60th St.,33.9851275,-118.2783205
329 S. Bonnie Brae St.,90057.0,1.0,2022,3.0,30,0.1,2022,TOC,90057,,3.0,,,,,,TOC Tier 3,deduplicated_matched,329 S. Bonnie Brae St.,34.0611168,-118.2709319
1411 S. Flower St.,90015.0,14.0,2022,25.0,227,0.1101321585903083,2022,TOC,90015,,25.0,,,,,,TOC Tier 4,deduplicated_matched,1411 S. Flower St.,34.0381829,-118.2684825
525 S. Union Ave.,90017.0,1.0,2022,44.0,44,1.0,2022,TOC,90017,,6.0,,3.0,35.0,,,TOC Tier 4,deduplicated_matched,525 S. Union Ave.,34.0580107,-118.2698496
110 E. 116th St.,90061.0,15.0,2022,17.0,84,0.2023809523809523,2022,TOC,90061,,9.0,,,8.0,,,TOC Tier 3,deduplicated_matched,110 E. 116th St.,33.929055,-118.2736694
6506 S. Main St.,90003.0,9.0,2022,2.0,20,0.1,2022,TOC,90003,,2.0,,,,,,TOC Tier 1,deduplicated_matched,6506 S. Main St.,33.9802289,-118.2735692
10811 S. Compton Ave.,90059.0,15.0,2022,28.0,29,0.9655172413793104,2022,TOC,90059,2024-09-23 00:00:00,2.0,,3.0,23.0,,,TOC Tier 3,deduplicated_matched,10811 S. Compton Ave.,33.9198476,-118.2462306
1837 N. Workman St.,90031.0,14.0,2022,16.0,16,1.0,2022,TOC,90031,,1.0,,1.0,14.0,,,TOC Tier 2,deduplicated_matched,1837 N. Workman St.,34.2978138,-118.4292721
836 W. 42nd Pl.,90037.0,9.0,2022,5.0,31,0.1612903225806451,2022,TOC,90037,,1.0,,4.0,,,,TOC Tier 3,deduplicated_matched,836 W. 42nd Pl.,34.0063047,-118.2885031
611 N. Virgil Ave.,90004.0,13.0,2022,3.0,30,0.1,2022,TOC,90004,,3.0,,,,,,TOC Tier 3,deduplicated_matched,611 N. Virgil Ave.,34.08216230000001,-118.2869824
549 S. Harvard Blvd.,90020.0,10.0,2022,15.0,150,0.1,2022,TOC,90020,,15.0,,,,,,TOC Tier 3,deduplicated_matched,549 S. Harvard Blvd.,34.0640731,-118.304122
8717 S. Central Ave.,90002.0,9.0,2022,20.0,20,1.0,2022,TOC,90002,,1.0,,1.0,18.0,,,TOC Tier 2,deduplicated_matched,8717 S. Central Ave.,33.9587,-118.2566
8940 N. Reseda Blvd.,91324.0,12.0,2022,5.0,51,0.0980392156862745,2022,TOC,91324,2024-06-24 00:00:00,5.0,,,,,,TOC Tier 2,deduplicated_matched,8940 N. Reseda Blvd.,34.2330867,-118.5357506
1525 W. Pizarro St.,90026.0,13.0,2022,10.0,90,0.1111111111111111,2022,TOC,90026,,,,10.0,,,,TOC Tier 1,deduplicated_matched,1525 W. Pizarro St.,34.0669255,-118.261115
9401 S. Broadway,90003.0,8.0,2022,17.0,17,1.0,2022,TOC,90003,,,,,17.0,,,TOC Tier 2,deduplicated_matched,9401 S. Broadway,33.9508712,-118.2786359
8016 S. Western Ave.,90047.0,8.0,2022,20.0,20,1.0,2022,TOC,90047,,2.0,,17.0,1.0,,,TOC Tier 2,deduplicated_matched,8016 S. Western Ave.,33.9658866,-118.3088301
11013 W. Hartsook St.,91601.0,2.0,2022,3.0,25,0.12,2022,TOC,91601,,3.0,,,,,,TOC Tier 3,deduplicated_matched,11013 W. Hartsook St.,34.1642072,-118.4751275
6110 S. San Pedro St.,90003.0,9.0,2022,16.0,16,1.0,2022,TOC,90003,,,,,16.0,,,TOC Tier 2,deduplicated_matched,6110 S. San Pedro St.,33.9839493,-118.2694389
3605 S. San Pedro St.,90011.0,9.0,2022,44.0,44,1.0,2022,TOC,90011,,2.0,,1.0,41.0,,,TOC Tier 2,deduplicated_matched,3605 S. San Pedro St.,34.01362290000001,-118.266639
1446 S. Bedford St.,90035.0,5.0,2022,3.0,29,0.1034482758620689,2022,TOC,90035,,3.0,,,,,,TOC Tier 3,deduplicated_matched,1446 S. Bedford St.,34.0527175,-118.3804079
942 N. Wilcox Ave.,90038.0,13.0,2022,3.0,15,0.2,2022,TOC,90038,,1.0,,2.0,,,,TOC Tier 2,deduplicated_matched,942 N. Wilcox Ave.,34.032542,-118.1250721
153 N. Mariposa Ave.,90004.0,10.0,2022,20.0,20,1.0,2022,TOC,90004,,,,,20.0,,,TOC Tier 4,deduplicated_matched,153 N. Mariposa Ave.,34.0743594,-118.2995942
608 N. Serrano Ave.,90004.0,13.0,2022,3.0,22,0.1363636363636363,2022,TOC,90004,,3.0,,,,,,TOC Tier 2,deduplicated_matched,608 N. Serrano Ave.,34.0820684,-118.3066538
5566 W. Pico Blvd.,90019.0,10.0,2022,4.0,40,0.1,2022,TOC,90019,,4.0,,,,,,TOC Tier 2,deduplicated_matched,5566 W. Pico Blvd.,34.0495742,-118.3601903
3450 W. 43rd St.,90008.0,10.0,2022,7.0,56,0.125,2022,TOC,90008,,7.0,,,,,,TOC Tier 4,deduplicated_matched,3450 W. 43rd St.,34.005569,-118.333029
4347 S. Woodlawn Ave.,90011.0,9.0,2022,32.0,33,0.9696969696969696,2022,TOC,90011,,4.0,,,28.0,,,TOC Tier 3,deduplicated_matched,4347 S. Woodlawn Ave.,34.0043168,-118.2732411
10914 S. Main St.,90061.0,8.0,2022,20.0,20,1.0,2022,TOC,90061,,1.0,,,19.0,,,TOC Tier 2,deduplicated_matched,10914 S. Main St.,33.9369258,-118.2735127
5806 W. Lexington Ave.,90038.0,13.0,2022,2.0,17,0.1176470588235294,2022,TOC,90038,,2.0,,,,,,TOC Tier 2,deduplicated_matched,5806 W. Lexington Ave.,34.1516759,-118.2631361
1350 W Court St.,90026.0,1.0,2022,6.0,69,0.0869565217391304,2022,TOC,90026,,6.0,,,,,,TOC Tier 1,deduplicated_matched,1350 W Court St.,34.06453,-118.258
913 S. Shenandoah St.,90035.0,5.0,2022,2.0,14,0.1428571428571428,2022,TOC,90035,,1.0,,1.0,,,,TOC Tier 3,deduplicated_matched,913 S. Shenandoah St.,34.06045,-118.3815
1843 N. Sichel St.,90031.0,14.0,2022,20.0,21,0.9523809523809524,2022,TOC,90031,,1.0,,1.0,18.0,,,TOC Tier 2,deduplicated_matched,1843 N. Sichel St.,34.0651888,-118.2130383
1529 S. Hi Point St.,90035.0,10.0,2022,2.0,14,0.1428571428571428,2022,TOC,90035,,,,2.0,,,,TOC Tier 3,deduplicated_matched,1529 S. Hi Point St.,34.0493123,-118.3697417
10978 W. Wilkins Ave.,90024.0,5.0,2022,3.0,23,0.1304347826086956,2022,TOC,90024,,3.0,,,,,,TOC Tier 3,deduplicated_matched,10978 W. Wilkins Ave.,34.0537807,-118.4440334
14811 W. Erwin St.,91411.0,6.0,2022,4.0,33,0.1212121212121212,2022,TOC,91411,,4.0,,,,,,TOC Tier 3 (Project has 1 ADU),deduplicated_matched,14811 W. Erwin St.,34.1829925,-118.3935511
7807 S. Broadway,90003.0,9.0,2022,20.0,20,1.0,2022,TOC,90003,,2.0,,2.0,16.0,,,TOC Tier 2,deduplicated_matched,7807 S. Broadway,33.9685752,-118.278709
1427 S. Greenfield Ave.,90025.0,5.0,2022,5.0,29,0.1724137931034483,2022,TOC,90025,,3.0,,1.0,1.0,,,TOC Tier 3,deduplicated_matched,1427 S. Greenfield Ave.,34.0522143,-118.4445651
1000 N. Edinburgh Ave.,90046.0,5.0,2022,2.0,18,0.1111111111111111,2022,TOC,90046,,2.0,,,,,,TOC Tier 3,deduplicated_matched,1000 N. Edinburgh Ave.,34.0889113,-118.3635451
10425 S. Avalon Blvd.,90003.0,8.0,2022,38.0,38,1.0,2022,TOC,90003,,4.0,,,34.0,,,TOC Tier 2,deduplicated_matched,10425 S. Avalon Blvd.,33.941178,-118.2654946
606 N. Manhattan Pl.,90004.0,13.0,2022,2.0,14,0.1428571428571428,2022,TOC,90004,,,,2.0,,,,TOC Tier 3,deduplicated_matched,606 N. Manhattan Pl.,34.0819641,-118.3099699
1510 S. Hi Point St.,90035.0,10.0,2022,6.0,58,0.1034482758620689,2022,TOC,90035,,6.0,,,,,,TOC Tier 3,deduplicated_matched,1510 S. Hi Point St.,34.0497189,-118.3689571
2426 E. Cincinnati St.,90033.0,14.0,2022,2.0,18,0.1111111111111111,2022,TOC,90033,,2.0,,,,,,TOC Tier 3,deduplicated_matched,2426 E. Cincinnati St.,34.0471275,-118.2063999
2597 S. Alsace Ave.,90016.0,10.0,2022,2.0,24,0.0833333333333333,2022,TOC,90016,2024-09-11 00:00:00,2.0,,,,,,TOC Tier 1,deduplicated_matched,2597 S. Alsace Ave.,34.0325723,-118.3553364
5400 N. Carpenter Ave.,91607.0,2.0,2022,3.0,16,0.1875,2022,TOC,91607,,2.0,,,1.0,,,TOC Tier 3,deduplicated_matched,5400 N. Carpenter Ave.,34.16881,-118.39087
7322 N. Topanga Canyon Blvd.,91303.0,3.0,2022,12.0,149,0.0805369127516778,2022,TOC,91303,,12.0,,,,,,TOC Tier 1,deduplicated_matched,7322 N. Topanga Canyon Blvd.,34.1146633,-118.5919163
1468 S. Reeves St.,90035.0,5.0,2022,3.0,29,0.1034482758620689,2022,TOC,90035,,3.0,,,,,,TOC Tier 3,deduplicated_matched,1468 S. Reeves St.,34.0531751,-118.3961718
1200 S. Magnolia Ave.,90006.0,1.0,2022,2.0,21,0.0952380952380952,2022,TOC,90006,,2.0,,,,,,TOC Tier 2,deduplicated_matched,1200 S. Magnolia Ave.,34.0549076,-118.242643
6575 W. Fountain Ave.,90028.0,13.0,2022,1.0,12,0.0833333333333333,2022,TOC,90028,,1.0,,,,,,TOC Tier 1,deduplicated_matched,6575 W. Fountain Ave.,34.0945393,-118.3330495
9708 S. Broadway,90003.0,8.0,2022,17.0,17,1.0,2022,TOC,90003,,,,,17.0,,,TOC Tier 2,deduplicated_matched,9708 S. Broadway,33.9478749,-118.2778689
1101 S. Fairfax Ave.,90019.0,10.0,2022,2.0,20,0.1,2022,TOC,90019,,2.0,,,,,,TOC Tier 3,deduplicated_matched,1101 S. Fairfax Ave.,34.0555876,-118.3654414
728 S. Manhattan Pl.,90005.0,5.0,2022,6.0,60,0.1,2022,TOC,90005,,6.0,,,,,,TOC Tier 3,deduplicated_matched,728 S. Manhattan Pl.,34.0588017,-118.3098885
7019 N. Canoga Ave.,91303.0,3.0,2022,22.0,220,0.1,2022,TOC,91303,,22.0,,,,,,TOC Tier 3,deduplicated_matched,7019 N. Canoga Ave.,34.1980967,-118.5980572
5334 N. Cleon Ave.,91601.0,2.0,2022,15.0,15,1.0,2022,TOC,91601,,2.0,,2.0,11.0,,,TOC Tier 4,deduplicated_matched,5334 N. Cleon Ave.,34.16798730000001,-118.3683198
10714 W. Charnock Rd.,90034.0,5.0,2022,3.0,13,0.2307692307692307,2022,TOC,90034,,2.0,,,1.0,,,TOC Tier 3,deduplicated_matched,10714 W. Charnock Rd.,34.0120327,-118.4284027
11908 W. Exposition Blvd.,90064.0,11.0,2022,3.0,27,0.1111111111111111,2022,TOC,90064,2024-12-05 00:00:00,3.0,,,,,,TOC Tier 4,deduplicated_matched,11908 W. Exposition Blvd.,34.0188726,-118.3177272
1419 N. New Hampshire Ave.,90027.0,13.0,2022,7.0,62,0.1129032258064516,2022,TOC,90027,,7.0,,,,,,TOC Tier 4,deduplicated_matched,1419 N. New Hampshire Ave.,34.0972524,-118.2930946
4670 W. Beverly Blvd.,90034.0,13.0,2022,3.0,30,0.1,2022,TOC,90034,,3.0,,,,,,TOC Tier 3,deduplicated_matched,4670 W. Beverly Blvd.,34.0256006,-118.1427194
11261 W. Santa Monica Blvd.,90025.0,11.0,2022,12.0,119,0.1008403361344537,2022,TOC,90025,,12.0,,,,,,TOC Tier 3,deduplicated_matched,11261 W. Santa Monica Blvd.,34.0470178,-118.4477979
2403 S. Clyde Ave.,90016.0,10.0,2022,13.0,13,1.0,2022,TOC,90016,,2.0,,2.0,9.0,,,TOC Tier 4,deduplicated_matched,2403 S. Clyde Ave.,34.0354307,-118.3661513
5551 W. Jefferson Blvd.,90016.0,10.0,2022,2.0,17,0.1176470588235294,2022,TOC,90016,,2.0,,,,,,TOC Tier 3,deduplicated_matched,5551 W. Jefferson Blvd.,34.0265232,-118.3679459
3200 S. La Cienega Blvd.,90016.0,10.0,2022,28.0,254,0.1102362204724409,2022,TOC,90016,,28.0,,,,,,TOC Tier 4,deduplicated_matched,3200 S. La Cienega Blvd.,34.0291363,-118.3717969
12007 S. Central Ave.,90059.0,15.0,2022,73.0,74,0.9864864864864864,2022,TOC,90059,,,,9.0,64.0,,,TOC Tier 2,deduplicated_matched,12007 S. Central Ave.,33.9235546,-118.2546038
1240 S. Magnolia Ave.,90006.0,1.0,2022,4.0,36,0.1111111111111111,2022,TOC,90006,,4.0,,,,,,TOC Tier 2,deduplicated_matched,1240 S. Magnolia Ave.,34.0549076,-118.242643
5300 S. Crenshaw Blvd.,90043.0,8.0,2022,9.0,82,0.1097560975609756,2022,TOC,90043,,9.0,,,,,,TOC Tier 3,deduplicated_matched,5300 S. Crenshaw Blvd.,33.99462520000001,-118.3302717
18900 W. Parthenia St.,91324.0,12.0,2022,11.0,64,0.171875,2022,TOC,91324,,5.0,,3.0,3.0,,,TOC Tier 2,deduplicated_matched,18900 W. Parthenia St.,34.22798,-118.54519
"4008 W. Martin Luther King, Jr. Blvd.",90008.0,10.0,2022,7.0,70,0.1,2022,TOC,90008,,7.0,,,,,,TOC Tier 2,deduplicated_matched,"4008 W. Martin Luther King, Jr. Blvd.",34.01537,-118.34299
505 N. St. Andrews Pl.,90004.0,13.0,2022,2.0,22,0.0909090909090909,2022,TOC,90004,,2.0,,,,,,TOC Tier 2,deduplicated_matched,505 N. St. Andrews Pl.,34.0805332,-118.311492
936 S. Fedora St.,90006.0,10.0,2022,3.0,30,0.1,2022,TOC,90006,,3.0,,,,,,TOC Tier 3,deduplicated_matched,936 S. Fedora St.,34.0545788,-118.2974351
3716 S. Motor Ave.,90034.0,5.0,2022,4.0,34,0.1176470588235294,2022,TOC,90034,,4.0,,,,,,TOC Tier 3,deduplicated_matched,3716 S. Motor Ave.,34.0224229,-118.4051969
3527 S. Hughes Ave.,90034.0,5.0,2022,5.0,43,0.1162790697674418,2022,TOC,90034,,5.0,,,,,,TOC Tier 3,deduplicated_matched,3527 S. Hughes Ave.,34.028343,-118.402966
228 N. Soto St.,90033.0,14.0,2022,40.0,41,0.975609756097561,2022,TOC,90033,,5.0,,,35.0,,,TOC Tier 4,deduplicated_matched,228 N. Soto St.,34.045917,-118.208018
330 N. Robinson St.,90026.0,13.0,2022,3.0,20,0.15,2022,TOC,90026,,1.0,,2.0,,,,TOC Tier 1,deduplicated_matched,330 N. Robinson St.,34.0764432,-118.2813454
1206 W. Florence Ave.,90044.0,8.0,2022,3.0,27,0.1111111111111111,2022,TOC,90044,,3.0,,,,,,TOC Tier 2,deduplicated_matched,1206 W. Florence Ave.,33.9744556,-118.2966133
600 N. Alvarado St.,90026.0,13.0,2022,5.0,62,0.0806451612903225,2022,TOC,90026,,5.0,,,,,,TOC Tier 1,deduplicated_matched,600 N. Alvarado St.,34.0729583,-118.2660708
1037 S. Dewey Ave.,90006.0,10.0,2022,6.0,60,0.1,2022,TOC,90006,,6.0,,,,,,TOC Tier 3,deduplicated_matched,1037 S. Dewey Ave.,34.0515471,-118.2960298
3004 W. Sunset Blvd.,90026.0,13.0,2022,6.0,74,0.081081081081081,2022,TOC,90026,,6.0,,,,,,TOC Tier 1,deduplicated_matched,3004 W. Sunset Blvd.,34.0831779,-118.274069
3471 W. Slauson Ave.,90043.0,8.0,2022,7.0,63,0.1111111111111111,2022,TOC,90043,,7.0,,,,,,TOC Tier 4,deduplicated_matched,3471 W. Slauson Ave.,33.989166,-118.3329486
14712 W. Friar St.,91411.0,6.0,2022,3.0,23,0.1304347826086956,2022,TOC,91411,,3.0,,,,,,TOC Tier 3,deduplicated_matched,14712 W. Friar St.,34.18544,-118.45358
4750 W. Santa Monica Blvd.,90029.0,13.0,2022,10.0,85,0.1176470588235294,2022,TOC,90029,,10.0,,,,,,TOC Tier 4,deduplicated_matched,4750 W. Santa Monica Blvd.,34.0906756,-118.2931829
4508 N. Mariota Ave.,91602.0,2.0,2022,3.0,37,0.081081081081081,2022,TOC,91602,,3.0,,,,,,TOC Tier 1,deduplicated_matched,4508 N. Mariota Ave.,34.15257,-118.35054
2225 W. Sunset Blvd.,90026.0,13.0,2022,18.0,176,0.1022727272727272,2022,TOC,90026,,18.0,,,,,,TOC Tier 3,deduplicated_matched,2225 W. Sunset Blvd.,34.0781377,-118.2659948
5262 N. Cleon Ave.,91601.0,2.0,2022,15.0,15,1.0,2022,TOC,91601,,2.0,,2.0,11.0,,,TOC Tier 4,deduplicated_matched,5262 N. Cleon Ave.,34.1667062,-118.3683615
5217 W. Adams Blvd.,90016.0,10.0,2022,6.0,74,0.081081081081081,2022,TOC,90016,,6.0,,,,,,TOC Tier 1,deduplicated_matched,5217 W. Adams Blvd.,34.0327312,-118.3557898
14431 W. Vose St.,91405.0,6.0,2022,37.0,332,0.1114457831325301,2022,TOC,91405,,37.0,,,,,,TOC Tier 4,deduplicated_matched,14431 W. Vose St.,34.1986021,-118.4472984
11033 W. Hartsook St.,91601.0,2.0,2022,8.0,62,0.1290322580645161,2022,TOC,91601,,7.0,,,1.0,,,TOC Tier 3,deduplicated_matched,11033 W. Hartsook St.,34.1642072,-118.4751275
707 S. Rampart Blvd.,90057.0,1.0,2022,6.0,55,0.109090909090909,2022,TOC,90057,,6.0,,,,,,TOC Tier 3,deduplicated_matched,707 S. Rampart Blvd.,34.0590987,-118.2836152
4719 S. Western Ave.,90062.0,8.0,2022,21.0,21,1.0,2022,TOC,90062,,1.0,,1.0,19.0,,,TOC Tier 4,deduplicated_matched,4719 S. Western Ave.,34.000411,-118.309284
2925 S. Western Ave.,90018.0,10.0,2022,2.0,18,0.1111111111111111,2022,TOC,90018,,2.0,,,,,,TOC Tier 1,deduplicated_matched,2925 S. Western Ave.,34.028036,-118.3091667
930 S. Gramercy Dr.,90019.0,5.0,2022,2.0,17,0.1176470588235294,2022,TOC,90019,,2.0,,,,,,TOC Tier 3,deduplicated_matched,930 S. Gramercy Dr.,34.0548471,-118.3120298
850 E. 25th St.,90011.0,9.0,2022,17.0,17,1.0,2022,TOC,90011,,2.0,,2.0,13.0,,,TOC Tier 4,deduplicated_matched,850 E. 25th St.,34.0206753,-118.2573699
1999 W. 3rd St.,90057.0,1.0,2022,136.0,137,0.9927007299270072,2022,TOC,90057,,,,21.0,115.0,,,TOC Tier 4,deduplicated_matched,1999 W. 3rd St.,34.0625438,-118.2714903
142 E. Vernon Ave.,90011.0,9.0,2022,2.0,16,0.125,2022,TOC,90011,,2.0,,,,,,TOC Tier 3,deduplicated_matched,142 E. Vernon Ave.,34.0036299,-118.2730754
7353 N. Milwood Ave.,91303.0,3.0,2022,3.0,16,0.1875,2022,TOC,91303,,1.0,,2.0,,,,TOC Tier 2,deduplicated_matched,7353 N. Milwood Ave.,34.2047007,-118.5943077
1025 S. Mariposa Ave.,90006.0,10.0,2022,10.0,100,0.1,2022,TOC,90006,,10.0,,,,,,TOC Tier 3,deduplicated_matched,1025 S. Mariposa Ave.,34.051921,-118.2991911
1039 E. 28th St.,90011.0,9.0,2022,20.0,20,1.0,2022,TOC,90011,,3.0,,,17.0,,,TOC Tier 3,deduplicated_matched,1039 E. 28th St.,34.017184,-118.2560749
1853 S. Manhattan Pl.,90018.0,10.0,2022,2.0,20,0.1,2022,TOC,90018,,2.0,,,,,,TOC Tier 3,deduplicated_matched,1853 S. Manhattan Pl.,34.04024680000001,-118.3105071
4611 S. Crenshaw Blvd.,90043.0,8.0,2022,22.0,195,0.1128205128205128,2022,TOC,90043,,22.0,,,,,,TOC Tier 4,deduplicated_matched,4611 S. Crenshaw Blvd.,34.0017974,-118.3313021
17630 W. Sherman Way,91406.0,6.0,2022,5.0,39,0.1282051282051282,2022,DB,91406,,,,5.0,,,,DB,deduplicated_matched,17630 W. Sherman Way,34.20108099999999,-118.5199707
1441 W. 5th St.,90017.0,1.0,2022,36.0,218,0.1651376146788991,2022,DB,90017,,,,33.0,3.0,,,,deduplicated_matched,1441 W. 5th St.,34.0557704,-118.2642613
125 W. 46th St.,90037.0,9.0,2022,1.0,4,0.25,2022,UDU,90037,2023-01-27 00:00:00,,,,1.0,,,UDU,deduplicated_matched,125 W. 46th St.,34.0022023,-118.2749769
1740 W. 64th St.,90047.0,8.0,2022,1.0,3,0.3333333333333333,2022,UDU,90047,,,,,,1.0,,UDU,deduplicated_matched,1740 W. 64th St.,33.9811788,-118.3081674
569 N. Rossmore Ave.,90004.0,5.0,2022,1.0,70,0.0142857142857142,2022,UDU,90004,,,,,,1.0,,UDU,deduplicated_matched,569 N. Rossmore Ave.,34.0810227,-118.3275658
